,Date,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
368,368,Behran.Oil,45600.0,45705.0,45021.0,45620.0,15169
369,369,Behran.Oil,45620.0,45600.0,45455.0,45455.0,996
370,370,Behran.Oil,45455.0,45400.0,45000.0,45363.0,15256
371,371,Behran.Oil,45363.0,45000.0,43300.0,43900.0,1344
372,372,Behran.Oil,43900.0,43895.0,43887.0,43887.0,75
373,373,Behran.Oil,43887.0,43787.0,43679.0,43679.0,338
374,374,Behran.Oil,43679.0,43675.0,43400.0,43400.0,2870
375,375,Behran.Oil,43400.0,43180.0,42977.0,43000.0,8078
376,376,Behran.Oil,43000.0,42999.0,42915.0,42915.0,790
377,377,Behran.Oil,42915.0,42798.0,42798.0,42798.0,160
378,378,Behran.Oil,42798.0,41710.0,39997.0,39997.0,6642
379,379,Behran.Oil,39997.0,40000.0,39003.0,40000.0,22390
380,380,Behran.Oil,40000.0,40111.0,40007.0,40111.0,3016
381,381,Behran.Oil,40111.0,40998.0,40150.0,40998.0,3947
382,382,Behran.Oil,40998.0,41061.0,40902.0,40998.0,2930
383,383,Behran.Oil,40998.0,41969.0,40998.0,40998.0,762
384,384,Behran.Oil,40998.0,41426.0,40998.0,40998.0,8621
385,385,Behran.Oil,40998.0,41679.0,40998.0,40998.0,609
386,386,Behran.Oil,40998.0,41107.0,40998.0,40998.0,6045
387,387,Behran.Oil,40998.0,41102.0,40599.0,40998.0,18188
388,388,Behran.Oil,40998.0,40998.0,40500.0,40998.0,9702
389,389,Behran.Oil,40998.0,40998.0,40650.0,40998.0,2114
390,390,Behran.Oil,40998.0,40998.0,40478.0,40998.0,524
391,391,Behran.Oil,40998.0,40998.0,40390.0,40998.0,6850
392,392,Behran.Oil,40998.0,41500.0,40000.0,40998.0,15631
